email,access_token,user_id
pikachu@itb.ac.id,eyJhbGciOiJIUzI1NiIsImtpZCI6InFzNGg5M0tidXdvaHN0N2ciLCJ0eXAiOiJKV1QifQ.eyJpc3MiOiJodHRwczovL3J2bWhob3FoZmhkdGNybm5haWd4LnN1cGFiYXNlLmNvL2F1dGgvdjEiLCJzdWIiOiJjYmJkODljZi1mNWJlLTRmZWUtYTg4Yi1mZTU0MTAzODk0NjEiLCJhdWQiOiJhdXRoZW50aWNhdGVkIiwiZXhwIjoxNzY0MzE4MzY3LCJpYXQiOjE3NjQzMTQ3NjcsImVtYWlsIjoicGlrYWNodUBpdGIuYWMuaWQiLCJwaG9uZSI6IiIsImFwcF9tZXRhZGF0YSI6eyJwcm92aWRlciI6ImVtYWlsIiwicHJvdmlkZXJzIjpbImVtYWlsIl19LCJ1c2VyX21ldGFkYXRhIjp7ImVtYWlsX3ZlcmlmaWVkIjp0cnVlLCJuYW1lIjoiUGlrYWNodSIsIm5pbSI6IjE4MTI2MDA0Iiwicm9sZSI6InN0dWRlbnQifSwicm9sZSI6ImF1dGhlbnRpY2F0ZWQiLCJhYWwiOiJhYWwxIiwiYW1yIjpbeyJtZXRob2QiOiJwYXNzd29yZCIsInRpbWVzdGFtcCI6MTc2NDMxNDc2N31dLCJzZXNzaW9uX2lkIjoiNmM1ZDYzNDctMGZlNS00MzU2LTkzOGYtYmYwZDk2NjEwMTc1IiwiaXNfYW5vbnltb3VzIjpmYWxzZX0.wjIiQ5GTXUnRjmExOEA9axsIQElWjbI1u1G9m4zasF0,cbbd89cf-f5be-4fee-a88b-fe5410389461
charmander@itb.ac.id,eyJhbGciOiJIUzI1NiIsImtpZCI6InFzNGg5M0tidXdvaHN0N2ciLCJ0eXAiOiJKV1QifQ.eyJpc3MiOiJodHRwczovL3J2bWhob3FoZmhkdGNybm5haWd4LnN1cGFiYXNlLmNvL2F1dGgvdjEiLCJzdWIiOiIxYmNmMGYxNy1iNTVjLTQwOTItOWYxMC1kYzk4MjIxZTVmN2QiLCJhdWQiOiJhdXRoZW50aWNhdGVkIiwiZXhwIjoxNzY0MzE4MzY4LCJpYXQiOjE3NjQzMTQ3NjgsImVtYWlsIjoiY2hhcm1hbmRlckBpdGIuYWMuaWQiLCJwaG9uZSI6IiIsImFwcF9tZXRhZGF0YSI6eyJwcm92aWRlciI6ImVtYWlsIiwicHJvdmlkZXJzIjpbImVtYWlsIl19LCJ1c2VyX21ldGFkYXRhIjp7ImVtYWlsX3ZlcmlmaWVkIjp0cnVlLCJuYW1lIjoiQ2hhcm1hbmRlciIsIm5pbSI6IjE4MTI2MDA1Iiwicm9sZSI6InN0dWRlbnQifSwicm9sZSI6ImF1dGhlbnRpY2F0ZWQiLCJhYWwiOiJhYWwxIiwiYW1yIjpbeyJtZXRob2QiOiJwYXNzd29yZCIsInRpbWVzdGFtcCI6MTc2NDMxNDc2OH1dLCJzZXNzaW9uX2lkIjoiZmQ4NTliMDctYzA1Ny00NDljLTgwZjMtMTllMGMyODY2YzM5IiwiaXNfYW5vbnltb3VzIjpmYWxzZX0.X5m8BlL_1IP9u-bd45mCIxYPsIBIey-PW1eYFthwBao,1bcf0f17-b55c-4092-9f10-dc98221e5f7d
bulbasaur@itb.ac.id,eyJhbGciOiJIUzI1NiIsImtpZCI6InFzNGg5M0tidXdvaHN0N2ciLCJ0eXAiOiJKV1QifQ.eyJpc3MiOiJodHRwczovL3J2bWhob3FoZmhkdGNybm5haWd4LnN1cGFiYXNlLmNvL2F1dGgvdjEiLCJzdWIiOiJlZjQ3NTc4OC0xNzc0LTQ3ZGItOTdjNC03ZmVjYzJmZWU0NWIiLCJhdWQiOiJhdXRoZW50aWNhdGVkIiwiZXhwIjoxNzY0MzE4MzY5LCJpYXQiOjE3NjQzMTQ3NjksImVtYWlsIjoiYnVsYmFzYXVyQGl0Yi5hYy5pZCIsInBob25lIjoiIiwiYXBwX21ldGFkYXRhIjp7InByb3ZpZGVyIjoiZW1haWwiLCJwcm92aWRlcnMiOlsiZW1haWwiXX0sInVzZXJfbWV0YWRhdGEiOnsiZW1haWxfdmVyaWZpZWQiOnRydWUsIm5hbWUiOiJCdWxiYXNhdXIiLCJuaW0iOiIxODEyNjAwNiIsInJvbGUiOiJzdHVkZW50In0sInJvbGUiOiJhdXRoZW50aWNhdGVkIiwiYWFsIjoiYWFsMSIsImFtciI6W3sibWV0aG9kIjoicGFzc3dvcmQiLCJ0aW1lc3RhbXAiOjE3NjQzMTQ3Njl9XSwic2Vzc2lvbl9pZCI6IjM0NTc2YWEyLWM3NjctNDZiOC1hY2FkLTZjYTQ5YzUyYzdiMiIsImlzX2Fub255bW91cyI6ZmFsc2V9.zrMdbFWrGus6yB4PnIjA9sxkQGqWIkbTvcbw9mMPjxQ,ef475788-1774-47db-97c4-7fecc2fee45b
squirtle@itb.ac.id,eyJhbGciOiJIUzI1NiIsImtpZCI6InFzNGg5M0tidXdvaHN0N2ciLCJ0eXAiOiJKV1QifQ.eyJpc3MiOiJodHRwczovL3J2bWhob3FoZmhkdGNybm5haWd4LnN1cGFiYXNlLmNvL2F1dGgvdjEiLCJzdWIiOiI4ZTUxMDViNy01YTQxLTQwMTUtYTNhMy01NzM1NDk0Y2Y0NWEiLCJhdWQiOiJhdXRoZW50aWNhdGVkIiwiZXhwIjoxNzY0MzE4MzcwLCJpYXQiOjE3NjQzMTQ3NzAsImVtYWlsIjoic3F1aXJ0bGVAaXRiLmFjLmlkIiwicGhvbmUiOiIiLCJhcHBfbWV0YWRhdGEiOnsicHJvdmlkZXIiOiJlbWFpbCIsInByb3ZpZGVycyI6WyJlbWFpbCJdfSwidXNlcl9tZXRhZGF0YSI6eyJlbWFpbF92ZXJpZmllZCI6dHJ1ZSwibmFtZSI6IlNxdWlydGxlIiwibmltIjoiMTgxMjYwMDciLCJyb2xlIjoic3R1ZGVudCJ9LCJyb2xlIjoiYXV0aGVudGljYXRlZCIsImFhbCI6ImFhbDEiLCJhbXIiOlt7Im1ldGhvZCI6InBhc3N3b3JkIiwidGltZXN0YW1wIjoxNzY0MzE0NzcwfV0sInNlc3Npb25faWQiOiJiY2E0MTBkZS0xMzY4LTQxMTUtYjYxMi1mZDg3MWFiMDlhZjkiLCJpc19hbm9ueW1vdXMiOmZhbHNlfQ.lr6xOW5G0bLI4MY33m1PCRw8Yd43XYhxBhhWyn593nc,8e5105b7-5a41-4015-a3a3-5735494cf45a
eevee@itb.ac.id,eyJhbGciOiJIUzI1NiIsImtpZCI6InFzNGg5M0tidXdvaHN0N2ciLCJ0eXAiOiJKV1QifQ.eyJpc3MiOiJodHRwczovL3J2bWhob3FoZmhkdGNybm5haWd4LnN1cGFiYXNlLmNvL2F1dGgvdjEiLCJzdWIiOiIzNWJlNzZiZi01NTA5LTQ3M2MtOTgzMS1iZTYwZWE2YTEyMzIiLCJhdWQiOiJhdXRoZW50aWNhdGVkIiwiZXhwIjoxNzY0MzE4MzcxLCJpYXQiOjE3NjQzMTQ3NzEsImVtYWlsIjoiZWV2ZWVAaXRiLmFjLmlkIiwicGhvbmUiOiIiLCJhcHBfbWV0YWRhdGEiOnsicHJvdmlkZXIiOiJlbWFpbCIsInByb3ZpZGVycyI6WyJlbWFpbCJdfSwidXNlcl9tZXRhZGF0YSI6eyJlbWFpbF92ZXJpZmllZCI6dHJ1ZSwibmFtZSI6IkVldmVlIiwibmltIjoiMTgxMjYwMDgiLCJyb2xlIjoic3R1ZGVudCJ9LCJyb2xlIjoiYXV0aGVudGljYXRlZCIsImFhbCI6ImFhbDEiLCJhbXIiOlt7Im1ldGhvZCI6InBhc3N3b3JkIiwidGltZXN0YW1wIjoxNzY0MzE0NzcxfV0sInNlc3Npb25faWQiOiJmMTA2NzA3My01N2RiLTRlYjktYmViYS00NTBmMTc0NTFlOGMiLCJpc19hbm9ueW1vdXMiOmZhbHNlfQ.44qgi4-7VKeGVZAi7sHN1nAlgC3IJcf7gpxf_WFK4tY,35be76bf-5509-473c-9831-be60ea6a1232
snorlax@itb.ac.id,eyJhbGciOiJIUzI1NiIsImtpZCI6InFzNGg5M0tidXdvaHN0N2ciLCJ0eXAiOiJKV1QifQ.eyJpc3MiOiJodHRwczovL3J2bWhob3FoZmhkdGNybm5haWd4LnN1cGFiYXNlLmNvL2F1dGgvdjEiLCJzdWIiOiJiNTIyNjhmNy01MGRlLTQyYTYtODU0NC1jZGIwMmE5NTFiZDUiLCJhdWQiOiJhdXRoZW50aWNhdGVkIiwiZXhwIjoxNzY0MzE4MzcyLCJpYXQiOjE3NjQzMTQ3NzIsImVtYWlsIjoic25vcmxheEBpdGIuYWMuaWQiLCJwaG9uZSI6IiIsImFwcF9tZXRhZGF0YSI6eyJwcm92aWRlciI6ImVtYWlsIiwicHJvdmlkZXJzIjpbImVtYWlsIl19LCJ1c2VyX21ldGFkYXRhIjp7ImVtYWlsX3ZlcmlmaWVkIjp0cnVlLCJuYW1lIjoiU25vcmxheCIsIm5pbSI6IjE4MTI2MDA5Iiwicm9sZSI6InN0dWRlbnQifSwicm9sZSI6ImF1dGhlbnRpY2F0ZWQiLCJhYWwiOiJhYWwxIiwiYW1yIjpbeyJtZXRob2QiOiJwYXNzd29yZCIsInRpbWVzdGFtcCI6MTc2NDMxNDc3Mn1dLCJzZXNzaW9uX2lkIjoiZTFhYzVkMzItNDBjZi00OGE5LTlhYmItYWYzZTA0ODMxNzUwIiwiaXNfYW5vbnltb3VzIjpmYWxzZX0.TyZL8D6Mja50Y1TPI_5kQ8BYUb3y-AwM4YB8OxJxu4A,b52268f7-50de-42a6-8544-cdb02a951bd5
mewtwo@itb.ac.id,eyJhbGciOiJIUzI1NiIsImtpZCI6InFzNGg5M0tidXdvaHN0N2ciLCJ0eXAiOiJKV1QifQ.eyJpc3MiOiJodHRwczovL3J2bWhob3FoZmhkdGNybm5haWd4LnN1cGFiYXNlLmNvL2F1dGgvdjEiLCJzdWIiOiI2MTRjYTE5OC1iNmQ3LTQxMTYtYjJhNi1kMmE2NTdkODc0OWEiLCJhdWQiOiJhdXRoZW50aWNhdGVkIiwiZXhwIjoxNzY0MzE4Mzc4LCJpYXQiOjE3NjQzMTQ3NzgsImVtYWlsIjoibWV3dHdvQGl0Yi5hYy5pZCIsInBob25lIjoiIiwiYXBwX21ldGFkYXRhIjp7InByb3ZpZGVyIjoiZW1haWwiLCJwcm92aWRlcnMiOlsiZW1haWwiXX0sInVzZXJfbWV0YWRhdGEiOnsiZW1haWxfdmVyaWZpZWQiOnRydWUsIm5hbWUiOiJNZXd0d28iLCJuaW0iOiIxODEyNjAxMCIsInJvbGUiOiJzdHVkZW50In0sInJvbGUiOiJhdXRoZW50aWNhdGVkIiwiYWFsIjoiYWFsMSIsImFtciI6W3sibWV0aG9kIjoicGFzc3dvcmQiLCJ0aW1lc3RhbXAiOjE3NjQzMTQ3Nzh9XSwic2Vzc2lvbl9pZCI6IjQ1ZTZlZTJkLWQxOTktNGE4Zi05ODliLTE4ZWE3ODNhZjcyZSIsImlzX2Fub255bW91cyI6ZmFsc2V9.6PPmx3H8gDtRmR_rGkPUdenLS2EJ-TmxeV7gQimBhUM,614ca198-b6d7-4116-b2a6-d2a657d8749a
mew@itb.ac.id,eyJhbGciOiJIUzI1NiIsImtpZCI6InFzNGg5M0tidXdvaHN0N2ciLCJ0eXAiOiJKV1QifQ.eyJpc3MiOiJodHRwczovL3J2bWhob3FoZmhkdGNybm5haWd4LnN1cGFiYXNlLmNvL2F1dGgvdjEiLCJzdWIiOiIyODBhMjk5ZC02NDEyLTQwMTItYjMyNi03MjU0NGFjYTdmNGEiLCJhdWQiOiJhdXRoZW50aWNhdGVkIiwiZXhwIjoxNzY0MzE4Mzc5LCJpYXQiOjE3NjQzMTQ3NzksImVtYWlsIjoibWV3QGl0Yi5hYy5pZCIsInBob25lIjoiIiwiYXBwX21ldGFkYXRhIjp7InByb3ZpZGVyIjoiZW1haWwiLCJwcm92aWRlcnMiOlsiZW1haWwiXX0sInVzZXJfbWV0YWRhdGEiOnsiZW1haWxfdmVyaWZpZWQiOnRydWUsIm5hbWUiOiJNZXciLCJuaW0iOiIxODEyNjAxMSIsInJvbGUiOiJzdHVkZW50In0sInJvbGUiOiJhdXRoZW50aWNhdGVkIiwiYWFsIjoiYWFsMSIsImFtciI6W3sibWV0aG9kIjoicGFzc3dvcmQiLCJ0aW1lc3RhbXAiOjE3NjQzMTQ3Nzl9XSwic2Vzc2lvbl9pZCI6IjY0Njg1ZGFhLWJlYzgtNDRiOS04ZmFmLWFjNTA4ZDk4ODYzNiIsImlzX2Fub255bW91cyI6ZmFsc2V9.E_4mIcCFNnQ2tkpgCQQjD8ZHls9U2hhoUFnj1njlX2U,280a299d-6412-4012-b326-72544aca7f4a
lugia@itb.ac.id,eyJhbGciOiJIUzI1NiIsImtpZCI6InFzNGg5M0tidXdvaHN0N2ciLCJ0eXAiOiJKV1QifQ.eyJpc3MiOiJodHRwczovL3J2bWhob3FoZmhkdGNybm5haWd4LnN1cGFiYXNlLmNvL2F1dGgvdjEiLCJzdWIiOiI4NmVjN2JlNi03YzNmLTRlMjUtYjdmYy1iNTNiZmY1MzFjNWIiLCJhdWQiOiJhdXRoZW50aWNhdGVkIiwiZXhwIjoxNzY0MzE4MzgwLCJpYXQiOjE3NjQzMTQ3ODAsImVtYWlsIjoibHVnaWFAaXRiLmFjLmlkIiwicGhvbmUiOiIiLCJhcHBfbWV0YWRhdGEiOnsicHJvdmlkZXIiOiJlbWFpbCIsInByb3ZpZGVycyI6WyJlbWFpbCJdfSwidXNlcl9tZXRhZGF0YSI6eyJlbWFpbF92ZXJpZmllZCI6dHJ1ZSwibmFtZSI6Ikx1Z2lhIiwibmltIjoiMTgxMjYwMTIiLCJyb2xlIjoic3R1ZGVudCJ9LCJyb2xlIjoiYXV0aGVudGljYXRlZCIsImFhbCI6ImFhbDEiLCJhbXIiOlt7Im1ldGhvZCI6InBhc3N3b3JkIiwidGltZXN0YW1wIjoxNzY0MzE0NzgwfV0sInNlc3Npb25faWQiOiI3ZWQxYjI2NS0zNTVhLTQyZWMtYTIzMi04NjlhMmI4OTFlMTIiLCJpc19hbm9ueW1vdXMiOmZhbHNlfQ.NZhorn6N6c5Y0ej58F6ujS4jD6PzLpdM4o7O2JtY6VA,86ec7be6-7c3f-4e25-b7fc-b53bff531c5b
hooh@itb.ac.id,eyJhbGciOiJIUzI1NiIsImtpZCI6InFzNGg5M0tidXdvaHN0N2ciLCJ0eXAiOiJKV1QifQ.eyJpc3MiOiJodHRwczovL3J2bWhob3FoZmhkdGNybm5haWd4LnN1cGFiYXNlLmNvL2F1dGgvdjEiLCJzdWIiOiI5ZmQ2ODIyMi1jM2ZiLTQ1Y2QtOTI5Yy00ZGZkMWNiNWQ3NzAiLCJhdWQiOiJhdXRoZW50aWNhdGVkIiwiZXhwIjoxNzY0MzE4MzgyLCJpYXQiOjE3NjQzMTQ3ODIsImVtYWlsIjoiaG9vaEBpdGIuYWMuaWQiLCJwaG9uZSI6IiIsImFwcF9tZXRhZGF0YSI6eyJwcm92aWRlciI6ImVtYWlsIiwicHJvdmlkZXJzIjpbImVtYWlsIl19LCJ1c2VyX21ldGFkYXRhIjp7ImVtYWlsX3ZlcmlmaWVkIjp0cnVlLCJuYW1lIjoiSG9vaCIsIm5pbSI6IjE4MTI2MDEzIiwicm9sZSI6InN0dWRlbnQifSwicm9sZSI6ImF1dGhlbnRpY2F0ZWQiLCJhYWwiOiJhYWwxIiwiYW1yIjpbeyJtZXRob2QiOiJwYXNzd29yZCIsInRpbWVzdGFtcCI6MTc2NDMxNDc4Mn1dLCJzZXNzaW9uX2lkIjoiZDEwNGJiNjQtMTM2OS00OTFmLWIxOWYtMTVjOWFjZDk3ZjRmIiwiaXNfYW5vbnltb3VzIjpmYWxzZX0.58Z_YxK-qRbcXOFHSz1R-vFs1COMYs6o6kNXa7Mf6X0,9fd68222-c3fb-45cd-929c-4dfd1cb5d770
